Name,Sex,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Wilks,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetName
Jethpal Nijjar,M,Raw,25,24-34,M_O_R_ABPU,74.15,75,150,87.5,165,402.5,3,289.11,405.58,Yes,UK,BPU,09/02/2019,England,Midlands and South Yorkshire Qualifier
Benjamin Gadsdon,M,Raw,27,24-34,M_O_R_ABPU,88.95,90,187.5,140,232.5,560,1,359.67,525.58,Yes,UK,BPU,09/02/2019,England,Midlands and South Yorkshire Qualifier
Alan Motyer-Lowndes,M,Raw,47,45-49,M_M2_R_ABPU,83.1,90,145,90,170,405,1,270.14,374.75,Yes,England,BPU,29/10/2016,England,Northern Qualifier
Amelia Baines,F,Raw,27.5,24-34,F_O_R_ABPU,46.5,48,55,30,85,170,1,230.39,319.68,Yes,UK,BPU,29/10/2016,England,Northern Qualifier
Amy Lawrence,F,Raw,22.5,20-23,F_J_R_ABPU,67.1,67.5,100,55,120,275,1,281.87,460.01,Yes,UK,BPU,29/10/2016,England,Northern Qualifier
Anna Chojnacka,F,Raw,,,F_O_R_ABPU,55.7,56,85,40,105,230,1,271.76,413.31,Yes,England,BPU,29/10/2016,England,Northern Qualifier
Kate Vale,F,Raw,48,45-49,F_M2_R_ABPU,59.3,60,85,45,95,225,1,253.15,393.05,Yes,UK,BPU,29/10/2016,England,Northern Qualifier
Lucinda Stansfield,F,Raw,27,24-34,F_O_R_ABPU,65.3,67.5,105,50,130,285,1,297.98,482.69,Yes,UK,BPU,29/10/2016,England,Northern Qualifier
Nicola Carthy,F,Raw,36,35-39,F_O_R_ABPU,76.9,82.5,100,65,150,315,1,294.89,499.36,Yes,UK,BPU,29/10/2016,England,Northern Qualifier
Samantha Vickers,F,Raw,30,24-34,F_O_R_ABPU,69.5,75,85,55,135,275,1,274.94,453.45,Yes,UK,BPU,29/10/2016,England,Northern Qualifier
Sylwia Tomaszek,F,Raw,,,F_O_R_ABPU,56.5,60,95,52.5,115,262.5,1,306.71,472.68,Yes,England,BPU,29/10/2016,England,Northern Qualifier
Kate Vale,F,Raw,47,45-49,F_M2_R_ABPU,60,60,80,45,100,225,1,250.85,391.15,Yes,UK,BPU,04/07/2015,England,British Championships
Neami Potter,F,Raw,33.5,24-34,F_O_R_ABPU,48.9,52,92.5,52.5,115,260,1,339.64,502.63,Yes,UK,BPU,04/07/2015,England,British Championships
